# format: FICHSUP_LACTARIUM_G54-MCO
# annee: 2026
# source: formats_mco_2026.xlsx
nom;debut;longueur;libelle
NUMERO_FINESS_D_INSCRIPTION_EPMSI;1;9;Numéro FINESS d’inscription ePMSI
NUMERO_FINESS_GEOGRAPHIQUE;10;9;Numéro FINESS géographique
TYPE_DE_FICHIER;19;3;Type de fichier
ANNEE;22;4;Année
PERIODE;26;2;Période
QUANTITE_DE_LAIT_COLLECTE_POUR_DON_PERSO;28;7;Quantité de lait collecté pour don personnalisé (en litres)
QUANTITE_DE_LAIT_COLLECTE_DANS_LE_CADRE;35;7;Quantité de lait collecté dans le cadre d'un don anonyme (en litres)
QUANTITE_DE_LAIT_PASTEURISE_CONGELE_DIST;42;7;Quantité de lait pasteurisé congelé distribué pour don personnalisé (en litres)
QUANTITE_DE_LAIT_PASTEURISE_CONGELE_REQU;49;7;Quantité de lait pasteurisé congelé requalifié en don anonyme (en litres)
QUANTITE_DE_LAIT_PASTEURISE_CONGELE_DIST_2;56;7;Quantité de lait pasteurisé congelé distribué au total dans le cadre du don anonyme (en litres)
QUANTITE_DE_LAIT_PASTEURISE_CONGELE_VEND;63;7;Quantité de lait pasteurisé congelé vendu (en litres)
QUANTITE_DE_LAIT_CONGELE_CONSOMME_EN_LIT;70;7;Quantité de lait congelé consommé (en litres)
QUANTITE_DE_LAIT_LYOPHILISE_CONSOMME_EN;77;7;Quantité de lait lyophilisé consommé (en litres)
