# format: RSF_ACE_P-MCO
# annee: 2026
# source: formats_mco_2026.xlsx
nom;debut;longueur;libelle
TYPE_D_ENREGISTREMENT;1;1;Type d'enregistrement
NUMERO_FINESS_D_INSCRIPTION_EPMSI;2;9;Numéro FINESS d’inscription ePMSI
NUMERO_FINESS_GEOGRAPHIQUE;11;9;Numéro FINESS géographique
N_IMMATRICULATION_ASSURE;20;13;N° immatriculation assuré
CLE_DU_N_IMMATRICULATION;33;2;Clé du n° immatriculation
RANG_DE_BENEFICIAIRE;35;3;Rang de bénéficiaire
N_D_ENTREE;38;9;N° d'entrée
N_IMMATRICULATION_INDIVIDUEL;47;13;N° immatriculation individuel
CLE_DU_N_IMMATRICULATION_INDIVIDUEL;60;2;Clé du n° immatriculation individuel
DATE_DE_DEBUT_DE_SEJOUR;62;8;Date de début de séjour
CODE_REFERENCE_LPP;70;13;Code référence LPP
QUANTITE;83;2;Quantité
TARIF_REFERENCE_LPP_OU_PRIX_UNITAIRE_SUR;85;7;Tarif référence LPP ou Prix Unitaire sur devis
MONTANT_TOTAL_FACTURE;92;7;Montant total facturé
PRIX_D_ACHAT_UNITAIRE;99;7;Prix d'achat unitaire
MONTANT_UNITAIRE_DE_L_ECART_INDEMNISABLE;106;7;Montant unitaire de l'écart indemnisable
MONTANT_TOTAL_DE_L_ECART_INDEMNISABLE;113;7;Montant total de l'écart indemnisable
NUMERO_DE_FACTURE;120;9;Numéro de facture
