# format: VID-HOSP
# annee: 2026
# source: formats_mco_2026.xlsx
# zone-repetee: oui
nom;debut;longueur;libelle
N_IMMATRICULATION_ASSURE;1;13;N° immatriculation assuré
CLE_DU_N_IMMATRICULATION;14;2;Clé du N° immatriculation
CODE_GRAND_REGIME;16;2;Code Grand Régime
CODE_GESTION;18;2;Code gestion
DATE_DE_NAISSANCE_DU_BENEFICIAIRE;20;8;Date de naissance du bénéficiaire
SEXE_DU_BENEFICIAIRE;28;1;Sexe du bénéficiaire
N_ADMINISTRATIF_DE_SEJOUR;29;20;N° administratif de séjour
N_FORMAT_VID_HOSP;49;4;N° format VID-HOSP
N_FINESS_D_INSCRIPTION_E_PMSI;53;9;N° FINESS d’inscription e-PMSI
N_IMMATRICULATION_INDIVIDUEL;62;13;N° immatriculation individuel
CLE_DU_N_IMMATRICULATION_INDIVIDUEL;75;2;Clé du N° immatriculation individuel
JUSTIFICATION_D_EXONERATION_OU_DE_MODULA;77;1;Justification d’exonération ou de modulation du ticket modérateur
CODE_DE_PRISE_EN_CHARGE_DU_FORFAIT_JOURN;78;1;Code de prise en charge du forfait journalier
NATURE_D_ASSURANCE;79;2;Nature d’assurance
TYPE_DE_CONTRAT;81;2;Type de contrat
SEJOUR_FACTURABLE_A_L_ASSURANCE_MALADIE;83;1;Séjour facturable à l'assurance maladie
MOTIF_DE_LA_NON_FACTURATION_A_L_ASSURANC;84;1;Motif de la non facturation à l'assurance maladie
FACTURATION_DU_18;85;1;Facturation du 18 €
NOMBRE_DE_VENUES_DE_LA_FACTURE;86;4;Nombre de venues de la facture
MONTANT_A_FACTURER_AU_TITRE_DU_TM;90;10;Montant à facturer au titre du TM
MONTANT_A_FACTURER_AU_TITRE_DU_FJ;100;10;Montant à facturer au titre du FJ
MONTANT_TOTAL_DU_SEJOUR_REMBOURSABLE_POU;110;10;Montant total du séjour remboursable pour l'AMO (i.e. hors prestations annexes)
MONTANT_LIE_A_LA_MAJORATION_AU_PARCOURS;120;4;Montant lié à la majoration au parcours de soins
MONTANT_BASE_REMBOURSEMENT;124;10;Montant base remboursement
TAUX_DE_REMBOURSEMENT;134;5;Taux de remboursement
PATIENT_BENEFICIAIRE_DE_LA_CMU;139;1;Patient bénéficiaire de la CMU
N_ADMINISTRATIF_DE_SEJOUR_DE_LA_MERE;140;20;N° administratif de séjour de la mère
HOSPITALISATION_D_UN_NOUVEAU_NE_AUPRES_D;160;1;Hospitalisation d'un nouveau-né auprès de la mère
HOSPITALISATION_POUR_PRELEVEMENT_D_ORGAN;161;1;Hospitalisation pour prélèvement d'organes
DATE_DE_L_HOSPITALISATION;162;8;Date de l’hospitalisation
MONTANT_TOTAL_DU_SEJOUR_REMBOURSABLE_POU_2;170;10;Montant total du séjour remboursable pour l'AMC
CODE_PARTICIPATION_ASSURE;180;1;Code participation assuré
N_D_ENTREE;181;9;N° d’entrée
RANG_DE_NAISSANCE;190;1;Rang de naissance
RANG_DU_BENEFICIAIRE;191;3;Rang du bénéficiaire
